Swedish,English,num_rights
som,as,0
jag,I,0
hans,his,0
att,that,0
han,he,0
var,was,0
för,for,0
på,on,0
är,are,0
med,with,0
de,they,0
vara,be,0
vid,at,0
ett,one,0
ha,have,0
detta,this,0
från,from,0
genom,by,0
het,hot,0
ord,word,0
men,but,0
vad,what,0
några,some,0
är,is,0
den,it,0
du,you,0
eller,or,0
hade,had,0
den,the,0
av,of,0
till,to,0
och,and,0
en,a,0
i,in,0
vi,we,0
kan,can,0
ut,out,0
andra,other,0
var,were,0
vilken,which,0
göra,do,0
deras,their,0
tid,time,0
om,if,0
kommer,will,0
hur,how,0
sa,said,0
ett,an,0
varje,each,0
berätta,tell,0
gör,does,0
uppsättning,set,0
tre,three,0
vill,want,0
luft,air,0
väl,well,0
också,also,0
spela,play,0
liten,small,0
ände,end,0
sätta,put,0
hem,home,0
läsa,read,0
sidan,hand,0
port,port,0
stor,large,0
stava,spell,0
lägg,add,0
även,even,0
mark,land,0
här,here,0
must,must,0
stor,big,0
hög,high,0
sådan,such,0
följ,follow,0
handling,act,0
varför,why,0
be,ask,0
män,men,0
förändring,change,0
gick,went,0
ljus,light,0
slag,kind,0
off,off,0
behöver,need,0
hus,house,0
bilden,picture,0
försök,try,0
oss,us,0
igen,again,0
djur,animal,0
punkt,point,0
mor,mother,0
världen,world,0
nära,near,0
bygga,build,0
själv,self,0
jord,earth,0
far,father,0
någon,any,0
ny,new,0
arbete,work,0
delen,part,0
ta,take,0
få,get,0
plats,place,0
gjort,made,0
lever,live,0
där,where,0
efter,after,0
tillbaka,back,0
liten,little,0
endast,only,0
rund,round,0
människa,man,0
år,year,0
kom,came,0
visar,show,0
varje,every,0
bra,good,0
mig,me,0
ge,give,0
vår,our,0
enligt,under,0
namn,name,0
mycket,very,0
genom,through,0
bara,just,0
formulär,form,0
meningen,sentence,0
bra,great,0
tro,think,0
säga,say,0
hjälpa,help,0
låg,low,0
linje,line,0
skiljer,differ,0
tur,turn,0
orsak,cause,0
mycket,much,0
betyda,mean,0
före,before,0
drag,move,0
höger,right,0
pojke,boy,0
gammal,old,0
alltför,too,0
samma,same,0
hon,she,0
alla,all,0
där,there,0
när,when,0
upp,up,0
använda,use,0
din,your,0
sätt,way,0
ca,about,0
många,many,0
cykelverkstad,bicycle shop,0
dem,them,0
skriva,write,0
skulle,would,0
liknande,like,0
så,so,0
dessa,these,0
hennes,her,0
lång,long,0
göra,make,0
sak,thing,0
se,see,0
honom,him,0
två,two,0
har,has,0
ser,look,0
mer,more,0
dag,day,0
kunde,could,0
gå,go,0
komma,come,0
gjorde,did,0
antal,number,0
sund,sound,0
nej,no,0
mest,most,0
människor,people,0
min,my,0
över,over,0
vet,know,0
vatten,water,0
än,than,0
samtal,call,0
först,first,0
som,who,0
får,may,0
ner,down,0
sida,side,0
varit,been,0
nu,now,0
hitta,find,0
huvud,head,0
stå,stand,0
egen,own,0
sida,page,0
bör,should,0
land,country,0
funnen,found,0
svar,answer,0
skola,school,0
växa,grow,0
studie,study,0
fortfarande,still,0
lära,learn,0
växt,plant,0
lock,cover,0
mat,food,0
sol,sun,0
fyra,four,0
mellan,between,0
tillstånd,state,0
hålla,keep,0
öga,eye,0
aldrig,never,0
sista,last,0
låt,let,0
trodde,thought,0
ort,city,0
träd,tree,0
korsa,cross,0
gård,farm,0
hård,hard,0
start,start,0
kanske,might,0
berättelse,story,0
sågen,saw,0
långt,far,0
hav,sea,0
rita,draw,0
vänster,left,0
sen,late,0
köra,run,0
inte,don’t,0
medan,while,0
tryck,press,0
nära,close,0
natt,night,0
verklig,real,0
liv,life,0
några,few,0
norr,north,0
boken,book,0
bära,carry,0
tog,took,0
vetenskap,science,0
äta,eat,0
rum,room,0
vän,friend,0
började,began,0
idé,idea,0
fisk,fish,0
berg,mountain,0
stoppa,stop,0
en gång,once,0
bas,base,0
höra,hear,0
häst,horse,0
snitt,cut,0
säker,sure,0
klocka,watch,0
färg,color,0
ansikte,face,0
trä,wood,0
huvud,main,0
öppen,open,0
tyckas,seem,0
tillsammans,together,0
nästa,next,0
vit,white,0
barn,children,0
börja,begin,0
fick,got,0
gå,walk,0
exempel,example,0
lindra,ease,0
papper,paper,0
grupp,group,0
alltid,always,0
musik,music,0
de som,those,0
båda,both,0
märke,mark,0
ofta,often,0
bokstav,letter,0
tills,until,0
mil,mile,0
flod,river,0
bil,car,0
fot,feet,0
vård,care,0
andra,second,0
tillräckligt,enough,0
vanlig,plain,0
flicka,girl,0
vanligt,usual,0
ung,young,0
klar,ready,0
ovan,above,0
någonsin,ever,0
röd,red,0
lista,list,0
though,though,0
känna,feel,0
diskussion,talk,0
fågel,bird,0
snart,soon,0
kropp,body,0
hund,dog,0
familj,family,0
direkt,direct,0
pose,pose,0
lämna,leave,0
sång,song,0
mäta,measure,0
dörr,door,0
produkt,product,0
svart,black,0
kort,short,0
siffran,numeral,0
klass,class,0
vind,wind,0
fråga,question,0
hända,happen,0
fullständig,complete,0
skepp,ship,0
område,area,0
halv,half,0
vagga,rock,0
för,order,0
eld,fire,0
söder,south,0
problemet,problem,0
stycke,piece,0
sa,told,0
visste,knew,0
passera,pass,0
sedan,since,0
topp,top,0
hela,whole,0
kung,king,0
gata,street,0
tum,inch,0
multiplicera,multiply,0
ingenting,nothing,0
Naturligtvis,course,0
bo,stay,0
hjul,wheel,0
fullständig,full,0
kraft,force,0
blå,blue,0
objektet,object,0
besluta,decide,0
yta,surface,0
djup,deep,0
månen,moon,0
ö,island,0
fot,foot,0
systemet,system,0
upptagen,busy,0
testet,test,0
register,record,0
båt,boat,0
gemensam,common,0
guld,gold,0
möjlig,possible,0
plan,plane,0
stead,stead,0
torka,dry,0
undra,wonder,0
skratt,laugh,0
tusen,thousand,0
sedan,ago,0
ran,ran,0
ta,check,0
spel,game,0
form,shape,0
likställa,equate,0
het,hot,0
miss,miss,0
bringas,brought,0
hetta,heat,0
snö,snow,0
däcket,tire,0
bringa,bring,0
ja,yes,0
avlägsen,distant,0
fylla,fill,0
öst,east,0
måla,paint,0
språk,language,0
bland,among,0
enhet,unit,0
kraft,power,0
stad,town,0
fin,fine,0
viss,certain,0
flyga,fly,0
falla,fall,0
bly,lead,0
rop,cry,0
mörk,dark,0
maskin,machine,0
anteckning,note,0
vänta,wait,0
planen,plan,0
figur,figure,0
stjärna,star,0
låda,box,0
subst,noun,0
fält,field,0
resten,rest,0
korrekt,correct,0
kunna,able,0
pund,pound,0
klar,done,0
skönhet,beauty,0
enhet,drive,0
stod,stood,0
innehålla,contain,0
främre,front,0
undervisa,teach,0
vecka,week,0
slutlig,final,0
gav,gave,0
grön,green,0
ack,oh,0
sammanfattning,quick,0
utveckla,develop,0
ocean,ocean,0
varm,warm,0
fri,free,0
minut,minute,0
stark,strong,0
speciell,special,0
sinne,mind,0
bakom,behind,0
klar,clear,0
svans,tail,0
producera,produce,0
faktum,fact,0
space,space,0
hört,heard,0
bäst,best,0
timme,hour,0
bättre,better,0
SANT,TRUE,0
under,during,0
hundra,hundred,0
fem,five,0
minnas,remember,0
steg,step,0
tidig,early,0
håll,hold,0
väster,west,0
jord,ground,0
intresse,interest,0
nå,reach,0
snabb,fast,0
verb,verb,0
sjunger,sing,0
lyssna,listen,0
sex,six,0
tabell,table,0
resor,travel,0
mindre,less,0
morgon,morning,0
tio,ten,0
enkel,simple,0
flera,several,0
vokal,vowel,0
mot,toward,0
krig,war,0
låg,lay,0
mot,against,0
mönster,pattern,0
långsam,slow,0
centrum,center,0
kärlek,love,0
personen,person,0
pengar,money,0
tjäna,serve,0
synas,appear,0
väg,road,0
karta,map,0
regn,rain,0
regel,rule,0
regera,govern,0
dra,pull,0
förkylning,cold,0
meddelande,notice,0
röst,voice,0
energi,energy,0
jakt,hunt,0
trolig,probable,0
bädd,bed,0
bror,brother,0
ägg,egg,0
ritt,ride,0
cell,cell,0
tro,believe,0
kanske,perhaps,0
plocka,pick,0
plötslig,sudden,0
räkna,count,0
kvadrat,square,0
anledningen,reason,0
längd,length,0
representerar,represent,0
teknikområdet,art,0
ämne,subject,0
region,region,0
storlek,size,0
varierar,vary,0
sedimentera,settle,0
tala,speak,0
vikt,weight,0
allmän,general,0
is,ice,0
materia,matter,0
cirkel,circle,0
par,pair,0
inkluderar,include,0
divide,divide,0
stavelse,syllable,0
kände,felt,0
stors,grand,0
boll,ball,0
ännu,yet,0
våg,wave,0
släpp,drop,0
hjärta,heart,0
jag,am,0
föreliggande,present,0
tung,heavy,0
dans,dance,0
motor,engine,0
ställning,position,0
beväpnar,arm,0
bred,wide,0
segel,sail,0
materialet,material,0
fraktion,fraction,0
skog,forest,0
sitta,sit,0
ras,race,0
fönster,window,0
lagra,store,0
sommar,summer,0
tåg,train,0
sömn,sleep,0
bevisa,prove,0
ensam,lone,0
ben,leg,0
övning,exercise,0
vägg,wall,0
fångst,catch,0
fäste,mount,0
vill,wish,0
himmelsblå,sky,0
ombord,board,0
glädje,joy,0
vinter,winter,0
satellit,sat,0
skriven,written,0
vild,wild,0
instrumentet,instrument,0
hålls,kept,0
glas,glass,0
gräs,grass,0
ko,cow,0
jobb,job,0
kanten,edge,0
tecken,sign,0
besök,visit,0
förbi,past,0
mjuk,soft,0
kul,fun,0
ljust,bright,0
gas,gas,0
väder,weather,0
månad,month,0
miljoner,million,0
bära,bear,0
yta,finish,0
lycklig,happy,0
hoppas,hope,0
blomma,flower,0
kläder,clothe,0
främmande,strange,0
borta,gone,0
handel,trade,0
melodi,melody,0
resa,trip,0
kontor,office,0
motta,receive,0
rad,row,0
mun,mouth,0
exakta,exact,0
symbol,symbol,0
dö,die,0
minst,least,0
besvär,trouble,0
rop,shout,0
utom,except,0
skrev,wrote,0
frö,seed,0
ton,tone,0
ansluta,join,0
föreslår,suggest,0
ren,clean,0
paus,break,0
damen,lady,0
gård,yard,0
stiga,rise,0
dålig,bad,0
smäll,blow,0
olja,oil,0
blod,blood,0
Rör,touch,0
växte,grew,0
cent,cent,0
blanda,mix,0
lag,team,0
tråd,wire,0
kostnad,cost,0
förlorat,lost,0
brun,brown,0
slitage,wear,0
trädgård,garden,0
lika,equal,0
skickat,sent,0
välja,choose,0
föll,fell,0
passa,fit,0
flöde,flow,0
verkligt,fair,0
bank,bank,0
samla,collect,0
spara,save,0
kontroll,control,0
decimala,decimal,0
örat,ear,0
annars,else,0
ganska,quite,0
bröt,broke,0
fall,case,0
mitten,middle,0
döda,kill,0
son,son,0
sjö,lake,0
ögonblick,moment,0
skala,scale,0
högt,loud,0
fjäder,spring,0
observera,observe,0
barn,child,0
rak,straight,0
konsonant,consonant,0
nation,nation,0
ordbok,dictionary,0
mjölk,milk,0
hastighet,speed,0
metod,method,0
organ,organ,0
betala,pay,0
okänd,age,0
sektion,section,0
klänning,dress,0
moln,cloud,0
överraskning,surprise,0
ro,quiet,0
sten,stone,0
liten,tiny,0
klättra,climb,0
sval,cool,0
konstruktion,design,0
dålig,poor,0
mycket,lot,0
experiment,experiment,0
botten,bottom,0
nyckel,key,0
järn,iron,0
singel,single,0
pinne,stick,0
platt,flat,0
tjugo,twenty,0
hud,skin,0
le,smile,0
veck,crease,0
hål,hole,0
hoppa,jump,0
barn,baby,0
åtta,eight,0
by,village,0
möts,meet,0
rot,root,0
köpa,buy,0
höja,raise,0
lösa,solve,0
metall,metal,0
huruvida,whether,0
tryck,push,0
sju,seven,0
punkt,paragraph,0
tredje,third,0
skall,shall,0
vänt,held,0
hår,hair,0
beskriva,describe,0
kock,cook,0
våningen,floor,0
antingen,either,0
resultat,result,0
bränna,burn,0
kulle,hill,0
säker,safe,0
cat,cat,0
talet,century,0
överväga,consider,0
typ,type,0
lag,law,0
bitars,bit,0
kust,coast,0
kopia,copy,0
fras,phrase,0
tyst,silent,0
tall,tall,0
sand,sand,0
jord,soil,0
rulle,roll,0
temperatur,temperature,0
finger,finger,0
industrin,industry,0
värde,value,0
slagsmål,fight,0
lie,lie,0
slå,beat,0
excitera,excite,0
naturlig,natural,0
vy,view,0
känsla,sense,0
kapital,capital,0
kommer inte,won’t,0
stol,chair,0
fara,danger,0
frukt,fruit,0
rik,rich,0
tjock,thick,0
soldat,soldier,0
processen,process,0
fungera,operate,0
praktiken,practice,0
separat,separate,0
svårt,difficult,0
läkare,doctor,0
vänligen,please,0
skydda,protect,0
middagstid,noon,0
gröda,crop,0
moderna,modern,0
elementet,element,0
hit,hit,0
studenten,student,0
hörn,corner,0
parti,party,0
försörjning,supply,0
vars,whose,0
lokalisera,locate,0
ring,ring,0
karaktär,character,0
insekt,insect,0
fångad,caught,0
period,period,0
indikerar,indicate,0
radio,radio,0
talade,spoke,0
atomen,atom,0
humant,human,0
historia,history,0
effekt,effect,0
elektrisk,electric,0
förvänta,expect,0
ben,bone,0
skena,rail,0
föreställa sig,imagine,0
tillhandahålla,provide,0
enas,agree,0
sålunda,thus,0
mild,gentle,0
kvinna,woman,0
kapten,captain,0
gissa,guess,0
nödvändig,necessary,0
skarp,sharp,0
vinge,wing,0
skapa,create,0
granne,neighbor,0
tvätt,wash,0
slagträ,bat,0
snarare,rather,0
publiken,crowd,0
majs,corn,0
jämföra,compare,0
dikt,poem,0
sträng,string,0
klocka,bell,0
bero,depend,0
kött,meat,0
gnida,rub,0
röret,tube,0
känd,famous,0
dollarn,dollar,0
ström,stream,0
rädsla,fear,0
syn,sight,0
tunn,thin,0
triangel,triangle,0
planet,planet,0
skynda,hurry,0
chef,chief,0
koloni,colony,0
klocka,clock,0
gruva,mine,0
slips,tie,0
ange,enter,0
större,major,0
färsk,fresh,0
sök,search,0
skicka,send,0
gul,yellow,0
pistol,gun,0
tillåta,allow,0
tryck,print,0
död,dead,0
fläck,spot,0
öken,desert,0
kostym,suit,0
ström,current,0
lift,lift,0
ros,rose,0
anländer,arrive,0
mästare,master,0
spår,track,0
förälder,parent,0
stranden,shore,0
delning,division,0
ark,sheet,0
substans,substance,0
gynna,favor,0
ansluta,connect,0
inlägg,post,0
spendera,spend,0
ackord,chord,0
fett,fat,0
glad,glad,0
original,original,0
andel,share,0
station,station,0
pappa,dad,0
bröd,bread,0
debitera,charge,0
ordentlig,proper,0
baren,bar,0
erbjudandet,offer,0
segment,segment,0
slav,slave,0
anka,duck,0
omedelbar,instant,0
marknad,market,0
grad,degree,0
befolka,populate,0
fågelunge,chick,0
kära,dear,0
fiende,enemy,0
svara,reply,0
dryck,drink,0
inträffa,occur,0
stöd,support,0
tal,speech,0
natur,nature,0
intervall,range,0
ånga,steam,0
rörelse,motion,0
bana,path,0
vätska,liquid,0
logga,log,0
innebar,meant,0
kvoten,quotient,0
tänder,teeth,0
skal,shell,0
hals,neck,0
syre,oxygen,0
socker,sugar,0
död,death,0
ganska,pretty,0
Förmåga,skill,0
kvinnor,women,0
säsong,season,0
lösning,solution,0
magnet,magnet,0
silver,silver,0
tack,thank,0
gren,branch,0
matchen,match,0
suffixet,suffix,0
speciellt,especially,0
fig,fig,0
rädd,afraid,0
enormt,huge,0
syster,sister,0
stål,steel,0
diskutera,discuss,0
framåt,forward,0
liknande,similar,0
guide,guide,0
erfarenhet,experience,0
poäng,score,0
äpple,apple,0
köpt,bought,0
ledde,led,0
tonhöjd,pitch,0
kappa,coat,0
massa,mass,0
kort,card,0
band,band,0
rep,rope,0
halka,slip,0
win,win,0
dröm,dream,0
kväll,evening,0
tillstånd,condition,0
foder,feed,0
verktyg,tool,0
totalt,total,0
grundläggande,basic,0
lukt,smell,0
dal,valley,0
eller,nor,0
dubbel,double,0
säte,seat,0
fortsätta,continue,0
blocket,block,0
diagram,chart,0
keps,hat,0
sälja,sell,0
framgång,success,0
företaget,company,0
subtrahera,subtract,0
händelse,event,0
särskilt,particular,0
affär,deal,0
simma,swim,0
term,term,0
motsatt,opposite,0
fru,wife,0
sko,shoe,0
innovation,innovation,0
spridning,spread,0
ordna,arrange,0
läger,camp,0
uppfinna,invent,0
bomull,cotton,0
Född,born,0
bestämma,determine,0
quart,quart,0
nio,nine,0
lastbil,truck,0
buller,noise,0
nivå,level,0
chans,chance,0
samla,gather,0
butik,shop,0
sträcka,stretch,0
kasta,throw,0
glans,shine,0
egenskap,property,0
kolonn,column,0
molekyl,molecule,0
välj,select,0
fel,wrong,0
grå,gray,0
upprepning,repeat,0
kräva,require,0
bred,broad,0
förbereda,prepare,0
salt,salt,0
näsa,nose,0
plural,plural,0
ilska,anger,0
krav,claim,0
kontinent,continent,0
